id,title,address,lat,lng,link,category,body,createdAt,updatedAt,
1,Greenville VegFest,"Greenville, SC, USA",,,http://www.greenvillevegfest.com/,TK,,,,
2,Birmingham Vegan Food and Drink Festival,"Manchester, UK",,,n/a,n/a,,,,
3,Stroud Vegan Fair,"Stroud, UK",,,n/a,TK,,,,
4,Cardiff Vegan Food and Drink Festival,"Cardiff, UK",,,n/a,n/a,,,,
5,Palm Beach VegFest,"Palm Beach, FL, USA",,,https://www.pbvegfest.com/,@PBVegFest,,,,
6,Sedona Veg Fest,"Sedona, AZ, USA",,,http://healthyworldsedona.com/sedona-vegfest-2017/,@sedona_veg_fest,,,,
7,Arizona Vegetarian Food Festival,"Scottsdale, AZ, USA",,,http://azvegfoodfest.com/,@azvegfoodfest,,,,
8,Chennai VegFest,"Chennai, INDIA",,,n/a,n/a,,,,
9,Veganmania (Indoor),"Innsbruck, AUSTRIA",,,http://www.veganmania.at/,n/a,,,,
10,SacTown VegFest,"Sacramento, CA, USA",,,http://sactownvegfest.org/,@sactownvegfest,,,,
11,Kingston Yoga & Vegan Food Festival,"Kingston upon Thames, UK",,,http://yogific.com/kingston-yoga-and-vegan-fest/,@yogific,,,,
12,SWFL Veg Fest,"Bonita Springs, FL, USA",,,http://www.swflvegfest.org/,@SWFLVEGFEST,,,,
13,Frome Vegan Fair,"Somerset, UK",,,n/a,@fromeveganfair,,,,
14,Vegan Life Live London ,"London, UK",,,https://www.veganlifelive.com/,@veganlife_live,,,,
15,Plant Fest,"Irvine, CA, USA",,,n/a,n/a,,,,
16,Cardiff Viva! Vegan Festival,"Cardiff, UK",,,http://www.viva.org.uk/festivals/cardiff-2018,@vivacharity,,,,
17,PHX Vegan Beer & Food Festival,"Phoenix, AZ, USA",,,http://phxveganfest.com/,@phxveganfest,,,,
18,Puerto Rico Vegan Fest,"Fajardo, PR, USA",,,http://www.puertoricoveganfest.com,n/a,,,,
19,Essex Vegan Festival,"Colchester, Essex, UK",,,n/a,n/a,,,,
20,Portsmouth Vegan Festival,"Portsmouth, UK",,,n/a,n/a,,,,
21,Oxford Yoga and Vegan Festival,"Oxford, UK",,,http://yogific.org/oxford/,@yogific,,,,
22,North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,n/a,,,,
23,V313: Detroit's Premier Vegan Celebration,"Detroit, MI, USA",,,https://migreenteam.com/V313,TK,,,,
24,Oxford Vegan Festival,"Oxford, UK",,,https://www.oxfordveganfestival.com,n/a,,,,
25,Red & Green VegFest Albuquerque,"Albuquerque, NM, USA",,,https://redandgreenvegfestabq.wordpress.com/,n/a,,,,
26,London Viva! Vegan Festival,"London, UK",,,https://www.viva.org.uk/festivals/london-shoreditch-2018,@vivacharity,,,,
27,Love Vegan Festival,"Falkirk, UK",,,https://www.animalaid.org.uk/events/love-vegan-festival/,n/a,,,,
28,Hoffdot Vegan Fest ,"Barreiro, PORTUGAL",,,https://veganariofest.wordpress.com/,TK,,,,
29,North Florida VegFest,"Tallahassee, FL, USA",,,http://www.northfloridavegfest.com/,@nfvegfest,,,,
30,VegOut! Scottsdale Vegan Beer & Food Festival,"Scottsdale, AZ, USA",,,http://vegoutevents.com/,n/a,,,,
31,Walsall Vegan Fair,"Walsall, UK",,,http://veganmidlands.org.uk,n/a,,,,
32,Brighton Vegan Beer Festival,"Brighton, UK",,,http://cowleyclub.org.uk/,double check,,,,
33,Earth Day Vegan Festival & Forum,"Jakarta, INDONESIA",,,TK,@veganfestival.id ,,,,
34,Live A Better Life Vegan Fair Liverpool,"Liverpool, UK",,,http://www.labl.org.uk,@labl.vegan,,,,
35,Des Moines VeganFest,"Des Moines, IA. USA",,,http://veglifedesmoines.org/,@veglifedesmoines,,,,
36,VegFestUK Brighton,"Brighton, UK",,,http://brighton.vegfest.co.uk/,@VegfestUK,,,,
37,Vegan Street Fair Los Angeles,"Los Angeles, CA, USA",,,http://www.veganstreetfair.com,@VeganStreetFair,,,,
38,Indy VegFest,"Indianapolis, IN, USA",,,http://www.indyvegfest.com,@indyvegfest,,,,
39,Curacao Vegfest,"Willemstad, CURACAO",,,n/a,n/a,,,,
40,Lincoln VEGAN Festival,"Lincoln, UK",,,n/a,n/a,,,,
41,Northern Vegan Festival,"Manchester, UK",,,https://www.northernveganfestival.com,n/a,,,,
42,Valley Vegfest,"Northampton, MA, USA",,,http://www.valleyveg.org/vegfest/,n/a,,,,
43,Texas VegFest,"Austin, TX, USA",,,http://www.texasvegfest.com/,@txvegfest,,,,
44,Nashville VegFest,"Nashville, TN, USA",,,http://www.nashvillevegfest.com/,@nashvillevegfest,,,,
45,Indonesia International Vegan Festival & Forum,"Jakarta, INDONESIA",,,TK,@veganfestival.id ,,,,
46,Wilmington Vegfest,"Wilmington, NC, USA",,,wilmingtonvegfest.com,@WilmingtonVeg,,,,
47,Glasgow Vegan Festival,"Glasgow, SCOTLAND",,,n/a,@Veganfestivaluk,,,,
48,FarGo's Vegan Festival,"Fargo Village, Coventry, UK",,,n/a,n/a,,,,
49,Puerto Rico VegFest,"Rincon, PR",,,n/a,TK,,,,
50,Midwest Vegan Fest,"Glendale, WI, USA",,,https://midwestveganfest.com,@midwestveganfest,,,,
51,Lucca VeganFest,"Lucca, ITALY",,,http://www.veganfest.it/,n/a,,,,
52,NH VegFest,"Manchester, NH, USA",,,http://nhvegfest.com/,n/a,,,,
53,Stroud Yoga and Vegan Festival,"Stroud, UK",,,http://yogific.org/event/stroud-yoga-and-vegan-festival/,@yogific,,,,
54,Vegan Life Live Manchester ,"Manchester, UK",,,https://www.veganlifelive.com,@veganlife_live,,,,
55,Matlock Vegan Fest,"Derbyshire, UK",,,TK,TK,,,,
56,Leicester Vegan Festival ,"Leicester, UK",,,n/a,n/a,,,,
57,Noosa Vegan Festival,"Queensland, AUSTRALIA",,,https://noosaveganfestival.com.au/,@noosaveganfestival,,,,
58,Scottish Vegan Festival,"Edinburgh, SCOTLAND",,,http://www.scottishveganfestival.com/,n/a,,,,
59,Didim VegFest,TURKEY,,,http://didimvegfest.com/en/home-3/,@didimvegfest,,,,
60,Berkeley Earth Day,"Berkeley, CA, USA",,,http://www.berkeleyveganearthday.com/,n/a,,,,
61,Charleston Sol-Food Veg Fest,"Mount Pleasant, SC, USA",,,http://csfvegfest.com/,TK,,,,
62,Vegenement Zeeland,TK,,,TK,TK,,,,
63,New England VegFest,"Worcester, MA, USA",,,http://worcestervegfest.com/,@VegWorcester,,,,
64,Michigan VegFest ,"Novi, MI, USA",,,http://vegmichigan.org/activities/vegfest/,n/a,,,,
65,Liverpool Vegan Festival,"Liverpool, UK",,,n/a,n/a,,,,
66,Milwaukee Veg Expo,"Wauwatosa, WI, USA",,,mkevegexpo.com,n/a,,,,
67,Veggie Fest Hamilton,"Hamilton, ON, CANADA",,,http://www.veggiefesthamilton.com/,@veggiefest,,,,
68,North East Vegan Festival (NEVFEST),"Sunderland, UK",,,http://www.northeastveganfestival.co.uk/,n/a,,,,
69,Cleveland VegFest,"Cleveland, OH, USA",,,http://www.clevelandvegansociety.org,@clevegfest,,,,
70,Vegan Amsterdam Festival,"Amsterdam, NETHERLANDS",,,http://www.veganamsterdam.org/,@vegan_amsterdam,,,,
71,VegFest Los Angeles,"Los Angeles, CA, USA",,,http://vegfestla.org/home,@begfestla,,,,
72,Herbivore Festival,"Yucaipa, CA, USA",,,http://herbivorefestival.com/index.html,@herbivorefestival,,,,
73,Powell River Vegfest,"Powell RIver, BC, CANADA",,,n/a,n/a,,,,
74,Nottingham Viva! Vegan Festival,"Nottingham, UK",,,https://www.viva.org.uk/festivals/nottingham-2018,@vivacharity,,,,
75,Shoreditch Viva! Vegan Festival,"Shoreditch, UK",,,https://www.viva.org.uk/festivals,n/a,,,,
76,Kent Vegan Festival,"Kent, UK",,,https://kentveganfestival.org/,@kentveganfest,,,,
77,Vegan Street Fair San Diego Nights,"San Diego, CA, USA",,,http://www.veganstreetfair.com,@VeganStreetFair,,,,
78,Mississauga VegFest,"Mississauga, ON, CANADA",,,http://mississaugavegfest.ca/,n/a,,,,
79,Cork Vegfest,"Cork, IRELAND",,,http://corkvegfest.com,@dublinvegfest,,,,
80,Argyll Wee Vegan Fair,"Oban, SCOTLAND",,,n/a,n/a,,,,
81,Nijmegen Yoga and Vegan Festival,"Nijmegen, Netherlands",,,https://www.facebook.com/events/325043261340377/,@yogific,,,,
82,Oakland VegFest,"Oakland, CA, USA",,,http://www.oaklandvegfest.com/,n/a,,,,
83,NYC Vegetarian Food Festival,"New York, NY, USA",,,http://www.nycvegfoodfest.com/,@nycvegfoodfest,,,,
84,Dorset Vegan Festival,"Dorset, UK",,,https://www.veganeventsuk.co.uk/,,,,,
85,Seed Food and Wine LA,"Los Angeles, CA, USA",,,https://www.seedfoodandwinela.com/,@sfwla,,,,
86,Vegan Foodie Festival Amsterdam,"Amsterdam, NETHERLANDS",,,http://www.veganfoodiefestival.com/,TK,,,,
87,Rotterdam Vegan Food & Drinks festival,"Rotterdam, NETHERLANDS",,,TK,TK,,,,
88,Oslo Vegetarfestival,"Oslo, NORWAY",,,https://www.oslovegetarfestival.no/,@oslovegetarfestival ,,,,
89,Eat Drink Vegan LA,"Pasadena, CA, USA",,,https://eatdrinkvegan.com/,@eatdrinkvegan,,,,
90,VegFestUK Bristol,"Bristol, UK",,,http://bristol.vegfest.co.uk/,@VegfestUK,,,,
91,Houston Vegandale Food Drink Festival,"Houston, TX, USA",,,www.vegandalefest.com,@vegandale,,,,
92,Ottawa Veg Fest,"Ottawa, ON, CANADA",,,http://www.vegfest.ca/,n/a,,,,
93,Maine Animal Coalition's Annual Vegetarian Food Festival,"Portland, ME, USA",,,http://www.maineanimalcoalition.org/vegetarian-food-festival,@maine.animal.coalition,,,,
94,Albany VegFest,"Albany, NY, USA",,,http://www.albanyvegfest.org/,n/a,,,,
95,Brighton Vegan Summer Festival,"Brighton, UK",,,http://vegansummerfestuk.com/,n/a,,,,
96,Lancaster VegFest,"Lancaster, PA, USA",,,http://pavegfest.com/,@pavegfest,,,,
97,Triad Veg Fest,"Greensboro, NC, USA",,,http://www.triadvegfest.org/,@triadvegfest,,,,
98,Veganmania,"Wien, AUSTRIA",,,http://www.veganmania.at/,n/a,,,,
99,Philly VegFest,"Philadelphia, PA, USA",,,phillyvegfest.com,TK,,,,
100,VegFest LT,"Vilnius, LITHUANIA",,,n/a,@vegfestlt,,,,
101,Asheville VeganFest,"Asheville, NC, USA",,,https://veganfest.bwar.org/,@brotherwolfanimalrescue,,,,
102,Rehoboth Beach VegFest ,"Rehoboth, DE, USA",,,http://rehobothvegfest.org/,n/a,,,,
103,Dublin Yoga and Vegan Festival,"Dublin, IRELAND",,,n/a,@yogific,,,,
104,South Bay VegFair,"San Jose, CA, USA",,,https://www.summerveg.com/,n/a,,,,
105,Great Yorkshire Vegan Festival,"Leeds, UK",,,http://www.yorkshireveganfestival.com/,n/a,,,,
106,VegFest Calgary,"Calgary, AB, CANADA",,,http://www.vegfestcalgary.com/,@vegfestcalgary,,,,
107,Tri-State VegFest,"Edison, NJ, USA",,,http://vegfestexpos.com,@vegfestexpos,,,,
108,Greater London Vegan Festival,"London, UK",,,https://www.greaterlondonveganfestival.com/tickets.html,n/a,,,,
109,Richmond Vegetarian Festival (VA) ,"Richmond, VA, USA",,,http://veggiefest.org/,@rvavegfest,,,,
110,Chicago Vegandale Food Drink Festival,"Chicago, IL, USA",,,www.vegandalefest.com,@vegandale,,,,
111,Stockport Viva! Vegan Festival,"Stockport, UK",,,https://www.viva.org.uk/festivals/stockport-2018,@vivacharity,,,,
112,South East Vegan Festival,"Portsmouth, UK",,,http://www.southeastveganfestival.com/,n/a,,,,
113,Newcastle upon Tyne Vegan Festival,"Newcastle Upon Tyne, UK",,,http://veganfestival.co.uk/#arvlbdata,n/a,,,,
114,Vegetarian Summerfest NAVS,"Johnstown, PA, USA",,,https://summerfest.navs-online.org/,n/a,,,,
115,V In The Park,"Port of Menteith, SCOTLAND",,,TK,@vinthepark,,,,
116,Vegan Food Festival Amsterdam,"Amsterdam, NETHERLANDS",,,TK,TK,,,,
117,Long Beach Vegan Festival,"Long Beach, CA, USA",,,http://www.lbveganfest.com/,n/a,,,,
118,Aberdeen Vegan Festival [early year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,@veganfestivaluk,,,,
119,Sarnia VegFest,"Sarnia, ON, CANADA",,,http://sarniavegfest.com/,@sarniavegfest,,,,
120,Aberdeen Vegan Festival [latter year],"Aberdeen, SCOTLAND",,,veganfestival.co.uk,@veganfestivaluk,,,,
121,Saltaire-Bradford All-Vegan Festival,"Bradford, UK",,,n/a,n/a,,,,
122,Atlantic City Vegan Food Festival,"Atlantic City, NJ, USA",,,http://www.njvegfest.com,@njvegfest,,,,
123,Bethlehem VegFest,"Bethlehem, PA, USA",,,http://www.downtownbethlehemassociation.com/events/vegfest,n/a,,,,
124,London Vegan Beer Fest,"London, UK",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
125,Funky Vegan Festival,"Amsterdam, NETHERLANDS",,,TK,@funkyveganfestival,,,,
126,Viva!City Bristol Ethical Life Festival,"Bristol, UK",,,https://www.viva.org.uk/festivals/bristol-vivacity-2018,TK,,,,
127,Blackpool Yoga and Vegan Festival,"Blackpool, UK",,,n/a,@yogific,,,,
128,VegFest Houston,"Houston, TX, USA",,,www.VegFestHouston.com,@VeganSocietyofPEACE,,,,
129,Plymouth Vegan Festival,"Plymouth, UK",,,n/a,n/a,,,,
130,We Love Vegan Food,"London, UK",,,https://welovefood.co/vegan-food-festival/,TK,,,,
131,Vegtoria Veg Fest,"Victoria, BC, CANADA",,,http://www.vegtoria.ca/,TK,,,,
132,Compassionfest,"Hamden, CT, USA",,,http://www.compassionfest.net/,@compassionfest,,,,
133,VegOut! Portland Vegan Beer & Food Festival,"Portland, OR, USA",,,http://vegoutevents.com/,n/a,,,,
134,Milton Keynes Vegan Festival,"Milton Keynes, UK",,,n/a,n/a,,,,
135,VegFest Colorado,"Golden, CO, USA",,,http://www.vegfestcolorado.org/home.html,@vegfestco,,,,
136,Spokane Vegfest,"Spokane, WA, USA",,,http://www.inveg.org/vegfest.html,@invegans,,,,
137,Coventry Vegan Beer Fest,"Manchester, UK",,,http://veganbeerfest.co.uk/,@veganbeerfestuk,,,,
